1143.599976,1143.910034,1096.01001,7401900,1115.650024
1099,1140.930054,1093.800049,3959100,1140.170044
1148.47998,1195.416992,1141,5301200,1188.819946
1189.390015,1204.5,1170.599976,6583800,1184.910034
1181.01001,1273.890015,1181,12601400,1238.5
1228.01001,1234.916016,1204.790039,7682700,1223.709961
1225,1256.5,1215.796997,5896500,1237.609985
1236.97998,1249.272949,1188.23999,6867800,1200.959961
1205.02002,1221.650024,1194.625977,4903000,1220.650024
1227.599976,1253.63501,1211.285034,6907000,1218.189941
1204.27002,1212.98999,1152,7182100,1164.829956
1172.189941,1180.425049,1156.23999,5995400,1172.530029
1170.140015,1192.209961,1154.030029,9317100,1166.089966
1157.170044,1202.099976,1146.910034,6352400,1193.469971
1199.890015,1209.959961,1145.119995,7695500,1157.349976
1150.109985,1168,1068.27002,10967100,1110.079956
1108.910034,1128.98999,1077.089966,8130200,1096.459961
1103.060059,1112.22998,1034.089966,12078700,1071.469971
1082.469971,1097.040039,995.830017,12944200,1057.790039
1055,1095.459961,1021.23999,8564500,1066.150024
1061.390015,1071.849976,1031,8045600,1061.48999
1057.199951,1060.790039,996.02002,6533500,1023.880005
1038.349976,1095.569946,1033.910034,10270500,1094.430054
1123.140015,1124.650024,1028.5,9206800,1036.579956
1035.050049,1081.650024,1023.289978,7742600,1042.099976
1037.51001,1062,973.690002,14326700,979.539978
973.900024,1055.560059,970.109985,7488200,1037.079956
1050.959961,1070.839966,1014.070007,6960900,1070.709961
1071.5,1084.560059,1048.47998,7923300,1057.189941
1046.920044,1108.352051,1041.255005,7138000,1098.26001
1088,1094,1059.75,5060900,1090.98999
1080.109985,1125,1055.86499,6586400,1110.75
1112.660034,1146.849976,1109.02002,6108400,1145.98999
1139.569946,1146.98999,1112.810059,2101391,1115.22998
