요일,지점명,지점번호,방향,구분,0시,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
월,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,41,27,19,13,14,33,81,165,242,201,231,249,273,256,307,364,480,666,608,599,559,350,248,112
화,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,62,34,16,12,17,34,76,143,234,238,262,271,305,338,340,446,529,667,719,696,493,429,306,161
수,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,73,62,22,20,13,29,81,157,224,229,234,287,279,309,350,404,512,689,730,693,520,410,305,168
목,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,61,53,25,23,17,30,67,160,236,237,234,267,274,308,394,381,539,702,727,716,483,407,290,170
금,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,89,42,27,14,13,30,87,166,211,231,253,285,342,329,348,440,525,734,526,658,519,419,343,194
토,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,84,58,36,23,17,30,55,103,150,204,286,363,392,390,435,435,391,458,535,404,329,299,242,134
일,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,71,37,25,15,10,30,33,84,118,197,219,247,274,312,407,389,473,466,256,307,313,234,175,82
월,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,48,13,17,19,11,30,70,188,222,224,253,282,313,314,330,385,491,635,742,633,441,357,271,140
화,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,59,36,28,14,11,26,79,155,239,238,268,275,287,347,334,406,508,657,723,717,488,343,292,146
수,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,84,42,25,16,14,27,70,166,220,251,223,271,310,293,327,285,417,681,683,658,487,365,299,158
목,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,85,54,29,14,12,38,70,170,246,261,249,276,286,294,356,394,509,683,694,588,473,415,312,155
금,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,64,58,22,25,19,20,69,147,212,233,213,297,330,356,405,435,611,723,623,664,473,420,376,198
토,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,104,67,43,23,27,31,59,78,155,238,262,288,309,372,423,452,441,485,519,383,332,261,175,85
일,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,65,32,29,18,16,16,46,68,109,182,192,259,250,337,348,356,418,422,340,288,250,200,138,85
월,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,47,22,11,17,11,32,63,165,199,248,213,267,274,301,238,435,504,668,779,672,488,421,282,155
화,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,84,54,16,15,18,32,80,159,256,248,255,317,301,355,387,453,487,679,715,664,528,460,353,167
수,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,85,51,33,23,12,28,72,160,232,221,286,316,334,354,354,404,579,732,652,634,617,417,347,162
목,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,90,48,25,16,18,26,68,153,247,275,208,289,299,343,369,520,555,719,624,582,728,528,360,194
금,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,97,63,36,22,17,33,71,142,217,237,274,357,375,382,402,599,710,632,380,557,458,415,274,165
토,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,92,49,34,21,17,27,46,74,128,203,231,262,307,339,359,408,400,408,426,315,292,267,166,94
일,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,62,30,23,11,12,23,32,54,104,145,208,297,304,326,352,321,391,371,330,237,229,213,119,74
월,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,31,26,13,13,12,17,47,152,272,244,274,303,294,237,236,308,263,271,358,242,251,219,130,85
화,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,49,32,19,8,8,13,20,46,84,121,133,193,247,269,285,285,323,408,366,293,272,225,151,87
수,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,54,31,30,18,11,12,31,59,92,146,174,212,263,295,402,394,402,402,375,292,260,196,123,78
목,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,53,44,10,12,10,30,63,148,217,229,231,266,247,327,336,354,447,599,744,665,414,325,235,136
금,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,73,54,22,18,14,21,73,161,219,248,243,302,267,282,352,428,493,658,635,550,514,404,324,157
토,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,89,59,41,38,23,30,43,70,145,234,245,356,317,354,360,370,419,518,544,386,327,285,168,98
일,대사관로(삼청터널),A-04,유출,삼청공원입구->삼청각,76,48,17,20,24,15,38,44,111,167,202,229,271,270,377,375,351,404,404,337,262,188,137,76
토,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,766,688,575,485,525,683,1030,1130,1434,1545,1525,1525,1536,1467,1370,1333,1153,1164,1223,1003,959,878,782,833
일,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,689,536,431,352,341,459,611,741,971,1281,1373,1296,1351,1390,1362,1355,1215,1146,1101,1009,1038,982,816,580
월,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,419,288,224,239,474,871,1651,2390,2257,1837,1524,1219,1187,1296,1235,1063,995,979,878,735,862,917,921,685
화,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,527,417,295,274,414,760,1516,2260,2361,1916,1433,1278,1236,1252,1221,1130,1059,1073,947,856,960,1104,1121,874
수,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,645,541,379,295,461,819,1521,2241,2224,1882,1581,1400,1240,1212,1183,1143,1150,1066,873,847,998,1069,1099,799
일,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,714,559,418,348,405,496,609,747,1063,1279,1415,1289,1425,1382,1420,1211,1173,1144,979,872,933,944,817,594
월,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,448,371,230,265,495,909,1678,2382,2220,1899,1350,1301,1206,1272,1220,1095,1100,1060,929,767,920,1043,936,786
화,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,649,508,333,290,436,804,1530,2288,2266,1845,1548,1369,1315,1319,1165,1131,1125,935,909,759,911,1085,982,814
수,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,681,545,349,296,466,799,1564,2296,2194,1940,1477,1278,1246,1217,1133,1102,897,814,853,841,899,1111,1033,815
금,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,738,631,439,348,500,799,1555,2288,2229,1907,1575,1425,1312,1265,1315,1195,1179,1062,964,894,1044,1142,1085,871
토,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,733,697,522,480,522,717,1089,1225,1579,1537,1574,1440,1478,1396,1324,1271,1119,1012,1114,1018,1024,992,953,776
일,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,615,544,422,388,389,500,695,759,1037,1288,1432,1292,1326,1339,1286,1167,1136,1091,984,966,970,900,799,587
월,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,378,308,216,224,475,942,1694,2433,2300,1827,1536,1341,1209,1295,1226,1161,1142,1052,931,806,885,1014,990,763
화,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,663,573,339,278,447,844,1525,2282,2333,1798,1471,1463,1222,1259,1186,1139,1148,1040,936,945,976,1111,1082,900
수,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,704,553,370,330,444,807,1561,2264,2273,1973,1611,1410,1248,1312,1248,1118,1177,1058,923,900,1001,1110,1111,843
금,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,623,557,343,361,447,769,1445,2142,2290,1855,1360,1340,1438,1352,1251,1247,1118,1002,842,790,879,1125,1159,924
토,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,732,605,533,442,507,661,868,1024,1311,1350,1358,1323,1264,1307,1276,1250,1193,1158,1148,1035,944,1043,922,719
일,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,587,461,353,343,392,484,538,623,823,1014,1235,1220,1284,1312,1209,1186,1123,1087,938,905,884,776,670,464
월,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,355,280,210,177,253,384,563,870,989,931,1312,1569,1649,1556,1473,1333,1141,1259,1118,1013,1038,1015,855,553
화,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,408,266,220,173,203,301,407,469,669,846,1121,1315,1356,1384,1298,1188,1201,1156,1041,941,908,923,783,641
수,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,522,362,327,239,279,381,467,612,787,979,1118,1269,1350,1334,1263,1215,1228,1082,958,942,923,841,705,581
목,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,459,297,215,257,471,835,1577,2399,2164,1853,1449,1330,1238,1206,1204,1097,1133,1060,954,832,911,1012,1005,806
토,창경궁로(서울여자대학교),A-06,유입,성균관대입구->원남동사거리,744,644,554,447,483,674,1009,1205,1493,1615,1587,1505,1436,1399,1348,1356,1229,1223,1084,987,974,1013,980,970
토,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,545,401,383,303,262,375,402,477,567,598,651,651,726,673,699,675,638,584,564,523,531,502,416,448
일,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,363,319,304,218,168,159,210,291,381,482,512,574,564,637,638,665,609,698,559,558,545,515,413,365
월,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,279,215,145,138,136,297,518,878,902,786,682,814,753,716,800,735,709,549,464,429,415,466,440,405
화,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,339,303,170,136,173,285,509,860,929,766,779,826,715,706,784,773,714,648,566,451,463,550,538,428
수,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,402,311,238,186,181,272,496,827,864,766,700,778,698,754,731,739,711,576,506,500,509,594,552,451
목,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,368,355,280,172,169,279,494,814,892,808,803,821,740,710,766,715,735,636,509,518,520,560,613,458
금,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,403,331,278,192,154,295,474,821,874,814,785,774,724,699,764,715,729,644,513,496,467,584,605,490
토,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,450,394,301,277,266,258,384,412,547,649,639,699,674,658,649,679,676,709,610,517,595,609,566,446
일,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,403,383,282,227,192,169,230,271,382,415,475,594,598,641,707,700,650,643,551,483,538,500,432,391
월,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,309,193,152,144,130,263,513,906,940,830,803,761,708,738,753,663,691,594,479,446,524,511,532,421
화,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,362,308,242,157,145,279,505,890,864,836,738,780,669,771,724,743,728,678,518,516,479,552,548,524
수,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,392,319,245,174,159,272,507,845,918,830,799,753,694,721,696,751,777,676,478,489,483,581,560,397
목,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,391,324,257,190,189,308,494,776,940,836,806,864,673,720,724,751,733,620,534,500,528,529,631,484
금,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,390,361,282,208,171,315,507,819,909,849,770,738,714,744,714,747,653,608,528,497,532,577,608,476
토,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,425,404,313,252,231,279,337,455,599,629,685,662,680,733,669,712,640,651,575,558,566,639,592,460
일,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,421,356,277,235,177,181,206,296,369,498,509,556,590,676,628,645,624,599,552,572,505,454,384,343
월,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,271,219,144,120,179,277,500,914,902,842,744,757,712,729,668,732,717,579,535,451,494,492,508,399
화,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,392,317,218,144,179,290,511,865,903,738,596,778,706,772,735,799,717,597,477,530,533,559,596,444
수,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,391,318,248,198,173,256,502,827,898,688,689,735,802,744,742,697,713,670,562,481,459,535,571,411
목,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,402,345,237,208,200,288,505,845,856,754,553,641,744,774,805,754,750,645,547,500,471,512,563,500
금,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,425,363,292,214,180,257,458,808,882,677,491,572,776,732,706,648,725,574,509,502,478,522,648,480
토,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,440,408,349,247,216,275,337,367,467,481,540,591,593,651,642,612,645,617,539,543,574,573,528,472
일,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,401,293,254,208,154,172,195,218,310,377,413,455,444,515,553,521,487,466,437,423,463,410,358,273
월,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,225,175,124,96,88,110,134,242,254,263,318,442,484,458,609,698,878,579,465,394,426,384,359,289
화,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,230,163,129,111,95,113,139,160,193,249,331,389,483,533,610,626,705,612,561,494,520,542,430,341
수,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,308,255,188,184,120,168,211,209,257,326,403,478,482,563,613,639,630,606,548,541,542,470,444,396
목,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,323,265,187,141,157,270,506,874,927,661,568,735,751,739,774,744,723,624,551,524,509,563,611,468
금,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,412,319,232,169,163,299,503,834,919,581,662,772,718,741,725,728,758,610,589,590,527,599,676,494
토,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,417,364,311,309,262,314,370,410,501,540,587,498,511,520,494,465,484,438,444,452,505,621,602,498
일,대학로(한국방송통신대학교),A-07,유입,혜화동로터리->이화사거리,481,382,309,238,172,187,245,283,345,482,479,594,567,683,702,677,669,602,584,534,555,503,449,379
토,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,759,530,475,441,426,419,639,783,1022,1177,1245,1317,1330,1463,1427,1482,1453,1510,1465,1186,1080,943,771,755
일,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,599,476,414,350,231,257,364,458,645,909,1044,1156,1277,1381,1509,1509,1529,1440,1300,1130,1003,969,872,668
월,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,536,370,280,207,239,359,711,1096,1177,1154,1181,1347,1356,1383,1488,1504,1417,1494,1532,1383,1207,1054,945,702
화,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,558,502,346,319,293,361,700,1092,1255,1173,1328,1381,1333,1428,1417,1535,1465,1583,1704,1552,1277,1223,1088,853
수,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,615,526,448,365,315,397,659,1011,1221,1273,1249,1306,1381,1381,1451,1471,1460,1640,1681,1504,1269,1185,1088,834
목,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,636,517,469,396,306,391,652,1029,1190,1243,1258,1386,1307,1436,1505,1502,1540,1637,1727,1599,1302,1257,1083,820
금,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,632,518,452,372,323,414,681,1019,1183,1300,1370,1420,1379,1412,1513,1583,1510,1638,1717,1594,1243,1299,1149,972
토,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,741,553,452,453,382,392,585,767,1043,1240,1268,1364,1387,1538,1384,1556,1528,1540,1375,1336,1137,1145,1048,911
일,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,653,499,406,372,272,283,348,486,660,850,1062,1196,1260,1444,1467,1469,1450,1449,1253,1008,1017,956,835,753
월,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,544,365,251,229,234,352,700,1096,1195,1150,1290,1333,1231,1360,1385,1375,1452,1524,1657,1501,1265,1155,1044,744
화,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,641,539,378,321,282,367,675,1067,1221,1268,1311,1314,1240,1518,1451,1429,1499,1589,1669,1169,1188,1138,1122,832
수,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,591,493,480,343,304,382,649,1045,1227,1191,1297,1343,1290,1416,1425,1431,1490,1633,1679,1552,1330,1152,1042,839
목,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,589,521,395,339,328,392,686,1049,1234,1240,1292,1298,1282,1406,1473,1494,1472,1600,1716,1584,1318,1213,1131,854
금,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,601,522,451,361,353,398,644,974,1197,1231,1290,1367,1349,1414,1476,1478,1500,1536,1734,1644,1290,1261,1188,992
토,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,739,538,472,431,347,401,553,715,1025,1227,1238,1322,1458,1544,1463,1438,1568,1625,1473,1235,1204,1057,1098,802
일,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,629,472,425,331,289,282,354,528,717,880,1094,1063,1350,1503,1481,1418,1472,1488,1323,1154,936,962,803,679
월,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,500,396,238,233,237,406,667,1136,1223,1211,1253,1350,1315,1468,1260,1561,1494,1640,1634,1347,1326,1167,1070,761
화,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,628,491,408,301,283,387,707,1056,1169,1133,1311,1334,1329,1356,1452,1433,1501,1592,1678,1606,1361,1190,1181,770
수,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,605,480,461,388,309,365,647,1012,1208,1127,1290,1310,1343,1479,1575,1386,1402,1653,1580,1323,1214,1212,1195,818
목,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,609,476,425,355,348,422,677,1001,1175,1190,1189,1247,1345,1399,1477,1552,1497,1562,1565,1500,1341,1302,1139,907
금,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,653,515,424,404,316,371,682,1031,1133,1088,1267,1354,1368,1518,1607,1604,1472,1363,1121,1192,1257,1115,1123,991
토,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,788,618,521,406,336,390,492,644,846,1020,1158,1262,1284,1339,1442,1383,1361,1478,1380,1130,1044,1024,973,833
일,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,619,509,422,307,228,254,351,451,563,792,1043,1042,1327,1392,1349,1307,1269,1136,1038,863,855,721,694,561
월,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,406,356,261,176,153,198,322,686,921,809,829,1119,1127,1205,1334,1261,1284,1152,1056,862,821,822,740,617
화,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,455,332,272,213,152,164,290,316,415,529,687,925,1116,1180,1216,1289,1352,1345,1179,1010,939,934,834,663
수,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,543,420,325,288,210,242,326,396,480,633,804,984,1120,1208,1316,1379,1279,1295,1142,1066,1041,852,865,674
목,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,507,383,303,222,251,347,686,1095,1254,1177,1218,1365,1224,1407,1383,1459,1496,1539,1631,1502,1147,1085,1058,746
금,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,672,542,402,335,295,413,716,1120,1146,1198,1257,1254,1318,1408,1489,1618,1573,1508,1704,1400,1271,1276,1179,883
일,대학로(한국방송통신대학교),A-07,유출,이화사거리->혜화동로터리,658,571,471,376,280,281,446,558,586,905,1000,1089,1231,1409,1559,1433,1423,1401,1290,1072,970,932,861,712
토,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,527,575,576,461,483,747,1073,1162,1226,1282,1213,1077,1142,1218,965,1013,1002,1045,1123,973,803,848,698,644
일,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,470,546,464,416,377,509,642,735,925,1096,1210,1248,1118,1217,910,1075,1069,1053,1008,959,794,772,701,650
월,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,492,343,298,255,384,751,1369,1305,1298,1314,1158,1092,1160,1087,1157,1180,1047,1072,976,802,846,884,890,662
화,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,405,393,223,187,249,583,1271,1355,1345,1248,1248,1121,1201,1107,880,1065,1070,1096,1004,863,938,950,800,646
목,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,671,572,467,326,507,766,1305,1406,1324,1221,1168,1153,1077,980,1092,1170,1240,1261,1196,1053,944,988,916,807
금,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,593,601,460,390,494,714,1085,1452,1382,1330,1123,1222,1146,1091,1196,1066,1043,1001,1029,1023,1066,998,885,861
토,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,609,649,512,470,602,787,1038,1216,1375,1491,1337,1330,1410,1275,1375,1240,1009,885,1205,1152,969,1078,935,798
일,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,374,416,328,335,270,399,595,708,846,964,1265,1205,1296,1114,1068,1046,1163,1060,920,805,832,869,734,629
월,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,597,394,308,274,428,811,1321,1361,1385,1331,1171,1128,1102,1128,1070,1079,943,1069,1035,830,956,1056,892,778
화,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,680,546,457,348,484,805,1359,1393,1285,1312,1137,1231,1112,1122,1165,1111,1097,997,947,931,900,1013,940,847
수,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,718,561,464,388,465,791,1331,1475,1459,1397,1297,1193,1217,1139,1050,1060,918,998,1054,872,954,1022,976,831
목,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,622,558,449,368,506,780,1281,1367,1318,1309,1189,1091,952,864,1072,1091,1082,1065,941,907,912,969,894,786
금,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,621,563,507,369,465,801,1302,1388,1364,1306,1253,1159,1232,1218,1180,1123,1183,1145,1065,1095,1116,1018,948,910
토,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,699,609,546,507,482,770,1079,1040,1055,1337,1284,1250,1148,1237,1072,1185,1076,1027,1108,841,482,775,759,755
일,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,554,252,500,391,369,479,660,810,960,1166,1208,1214,1238,1198,1133,1192,1112,1139,980,879,913,849,685,708
월,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,430,361,289,262,388,813,1364,1350,1392,1175,1184,1149,1183,1085,1142,1141,1012,1028,1084,888,988,1009,925,815
화,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,629,602,434,345,455,825,1301,1330,1438,1401,1267,1166,1150,1184,1184,1068,1086,1104,1039,993,940,1029,913,860
수,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,705,604,481,392,463,784,1286,1435,1380,1284,1256,1081,1212,1191,1234,1120,1086,1102,1104,1002,991,964,832,667
목,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,489,388,413,382,455,662,1266,1315,1291,1327,1207,1256,1282,1253,1183,1125,1059,1046,949,1045,1004,1010,973,859
금,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,719,590,481,401,510,742,1133,1032,1226,1288,1232,1187,1258,1178,1247,1051,1069,1021,966,910,985,1098,1000,854
토,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,775,644,591,527,509,737,924,833,984,1117,977,967,1147,1035,1113,962,922,982,930,1020,900,859,688,631
일,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,455,250,229,218,237,272,418,533,723,771,1014,1000,1168,1068,1067,1021,1050,1000,883,790,756,646,504,490
화,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,281,197,133,118,179,224,289,333,466,658,999,1229,1242,1149,1130,1053,1044,941,704,722,736,722,707,540
수,종로(동묘앞역),A-08,유입,신설동역->동묘앞역,405,455,387,296,283,354,354,390,613,704,915,1142,1165,1135,1110,912,800,832,712,702,686,733,635,593
토,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,1065,878,803,720,757,811,917,1149,1271,1147,1076,1051,1352,1422,1458,1487,1565,1564,1576,1405,1286,1129,1037,930
일,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,805,678,625,536,437,467,562,644,760,916,1052,1117,1170,1169,1230,1221,1416,1474,1484,1248,1357,1174,1092,922
월,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,801,625,488,435,498,641,818,1010,1168,1220,1385,1359,1524,1485,1594,1521,1313,1463,1519,1462,1574,1407,1256,917
목,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,912,821,754,665,634,814,900,1087,1232,1268,1403,1366,1400,1239,1581,1586,1582,1504,1615,1588,1648,1554,1399,1076
금,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,979,823,768,664,675,717,927,1076,1229,1296,1431,1300,1482,1553,1614,1702,1687,1480,1554,1589,1667,1535,1439,1196
토,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,996,816,756,794,764,844,924,1099,1306,1334,1316,1295,1328,1426,1403,1454,1474,1572,1601,1514,1381,1496,1255,1087
일,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,850,733,638,566,453,489,577,699,816,890,1085,1099,1199,1135,1056,1281,1519,1541,1396,1265,1242,1208,1074,932
월,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,805,630,461,390,494,645,781,1061,1113,1199,1358,1342,1537,1451,1557,1493,1625,1665,1521,1556,1537,1435,1337,1053
화,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,971,790,655,565,582,771,869,1043,1298,1277,1316,1321,1485,1466,1572,1625,1625,1566,1275,1519,1493,1456,1341,1128
수,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,999,832,699,618,618,749,870,1072,1245,1231,1290,1440,1513,1428,1596,1657,1600,1528,1579,1603,1581,1471,1366,1085
목,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,928,833,713,625,662,752,922,1078,1254,1270,1374,1361,1393,1398,1569,1659,1663,1542,1486,1513,1485,1540,1390,1166
금,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,975,853,779,676,657,802,889,1126,1298,1256,1387,1418,1467,1444,1580,1615,1644,1605,1610,1650,1579,1448,1441,1227
토,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,972,838,809,692,706,802,893,1101,1127,1337,1327,1336,1373,1431,1455,1433,1543,1513,1567,1213,712,1232,1102,996
일,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,787,326,654,555,439,503,558,726,853,974,1143,1145,1210,1229,1333,1388,1312,1469,1465,1368,1250,1275,1079,968
월,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,718,581,468,425,501,691,836,1015,1245,1249,1314,1370,1525,1518,1374,1644,1665,1588,1632,1608,1579,1490,1363,1057
화,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,961,860,755,582,671,819,956,1132,1281,1303,1304,1230,1467,1474,1642,1630,1646,1665,1460,1552,1474,1537,1460,1105
수,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,1058,811,719,627,637,781,920,1033,1296,1224,1316,1352,1506,1464,1463,1711,1630,1502,1412,1465,1620,1587,1387,1059
목,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,948,772,755,682,709,813,884,1050,1259,1229,1256,1279,1381,1481,1587,1565,1591,1194,1338,1544,1670,1626,1482,1211
금,종로(동묘앞역),A-08,유출,동묘앞역->신설동역,967,845,726,675,701,707,875,1026,1270,1205,1293,1018,1432,1484,1506,1497,1277,1413,1103,1341,1602,1546,1430,1182
