2177,25106,6913,1124
2177,25239,6960,1122
2177,24528,6697,1119
2124,24706,6784,1122
2075,23996,6601,1116
2010,23433,6422,1124
2028,23139,6288,1122
2079,23323,6342,1126
2095,24527,6764,1129
2114,25027,6795,1106
2099,24748,6701,1130
2100,25017,6642,1127
2080,25387,6829,1137
2077,25461,6937,1125
1996,24443,6714,1142
2162,25317,7141,1132
2145,25250,7068,1133
2254,26487,7353,1138
2339,26651,7645,1111
2345,26562,7548,1115
2303,26062,7435,1126
2289,25857,7447,1129
2323,25965,7654,1117
2293,25790,7485,1117
2247,25669,7377,1125
2283,25313,7408,1129
2288,25462,7395,1127
2295,25451,7297,1118
2289,25058,7350,1135
2311,25019,7376,1133
2273,24456,7207,1117
2314,24216,7031,1124
2338,24461,7217,1112
2423,25175,7279,1082
2470,25241,7153,1069
2423,24416,6968,1078
2472,24997,6953,1082
2460,24769,6930,1081
2444,24542,6893,1079
2505,23925,6644,1076
2449,24084,6514,1082
2480,24748,6833,1066
2444,24189,6583,1069
2408,24264,6560,1064
2452,23858,6530,1074
2485,24727,6886,1071
2494,25007,7046,1065
2411,24884,6913,1071
2456,25410,6900,1072
2415,24965,6779,1074
